,Filtered_Text
172,"['sugar', 'butter', 'egg', 'vanilla', 'extract', 'flour', 'cocoa', 'powder', 'salt', 'soda', 'jar', 'maraschino', 'cherries', 'milk', 'semisweet', 'chocolate', 'chips']"
173,"['pastry', 'inch', 'pie', 'tapioca', 'salt', 'sugar', 'cherries', 'almond', 'extract', 'vanilla', 'butter']"
174,"['cherries', 'water', 'almond', 'extract', 'flour', 'powder', 'salt', 'sugar', 'container', 'vanilla', 'yogurt', 'oil', 'egg', 'pecans']"
175,"['rice', 'kosher', 'salt', 'water', 'sugar', '⅓', 'milk', 'vanilla', 'extract', 'cinnamon', 'egg', 'yolk', 'cold', 'butter', 'cherries']"
176,"['cherries', 'apple', 'juice', 'packages', 'fruit', 'pectin', 'sugar', 'half', 'jars', 'lids', 'rings']"
177,"['cooked', 'boneless', 'chicken', 'breast', 'halves', 'cherries', 'celery', 'pecans', 'mayonnaise', 'buttermilk', 'salt', 'pepper', 'apples']"
178,"['milk', 'vanilla', 'bean', 'split', 'butter', 'cherries', 'pits', 'flour', 'salt', 'sugar', 'eggs', 'cream']"
179,"['sugar', 'flour', 'powder', 'baking', 'soda', 'butter', 'cherries', 'oil', 'eggs', 'container', 'plain', 'yogurt']"
180,"['shortening', 'sugar', 'eggs', 'milk', 'vanilla', 'extract', '¼', 'flour', 'powder', 'soda', 'salt', 'pecans', 'dates', 'maraschino', 'cherries', 'cornflakes', 'cereal']"
181,"['water', 'vinegar', 'corn', 'syrup', 'jar', 'cherry', 'preserves', 'cinnamon', 'cloves', 'nutmeg']"
182,"['cherries', 'pecans', 'milk', 'coconut', 'raisins', 'vanilla', 'extract', 'package', 'wafers']"
183,"['cream', 'milk', 'sugar', 'vanilla', 'extract', 'almond', 'cherries', 'pits', 'half']"
184,"['filling', 'pineapple', 'package', 'cake', 'mix', 'margarine', 'coconut', 'walnuts']"
185,"['pecans', 'walnuts', 'raisins', 'jar', 'maraschino', 'cherries', 'milk', 'package', 'vanilla', 'wafers']"
